gene,f_score,p_value
232732_at,1.117957238818996,0.35109721390914184
217570_x_at,1.1179269863337078,0.35111145480299594
233311_at,1.1178355880264716,0.35115448202955096
203740_at,1.117695812872814,0.3512202917890629
1566798_at,1.1176571891915652,0.35123847859894053
214704_at,1.117656846595477,0.3512386399212934
217083_at,1.1173121808657833,0.35140096757534595
206592_s_at,1.1172700268196991,0.35142082513545464
244465_at,1.1172494031867768,0.3514305406712016
234747_at,1.1171561542554778,0.35147447182298935
1564642_at,1.117135912360421,0.3514840087167797
217390_x_at,1.1169661365209442,0.3515640063157605
207479_at,1.116843108273355,0.3516219859784493
1556623_at,1.1168196194887032,0.35163305645478293
1553470_at,1.1167944891947357,0.3516449009052462
234591_at,1.1167933658099918,0.3516454303883756
236601_at,1.116764435669335,0.3516590662099475
237148_at,1.1166434003771146,0.3517161192146582
221854_at,1.1165618972298095,0.3517545420258148
1570529_at,1.1163503948905953,0.3518542660371923
220569_at,1.1163139176092045,0.351871467528587
206937_at,1.1162667580590682,0.3518937074483488
237813_at,1.1162577413432793,0.35189795976233595
1553434_at,1.1161750603071432,0.3519369543827254
230888_at,1.1161457357043618,0.35195078551081066
234737_at,1.1161283047856094,0.3519590071209715
205969_at,1.1161026753283458,0.3519710960065591
1563692_at,1.1160073799788752,0.35201604783548873
1558212_at,1.1159742494326783,0.3520316769668592
243194_at,1.115748400083203,0.35213823513997583
244059_at,1.1156027441430048,0.35220697119250943
1562880_at,1.1155844057015958,0.35221562600883416
237644_at,1.1154886985616983,0.3522607977597889
211645_x_at,1.1153479634526033,0.35232723037246666
217550_at,1.1153303000305939,0.35233556893964874
1569392_at,1.1152162389837457,0.3523894188887865
1562748_at,1.1151954715711114,0.3523992242236693
228348_at,1.1150182207384634,0.35248292229609146
233233_at,1.1148792863894557,0.3525485386442449
1561103_at,1.1148616551347326,0.35255686630271416
237617_at,1.1141360182853686,0.3528997413493625
234661_at,1.1139609111569342,0.3529825231072695
226784_at,1.1139552932706935,0.3529851792214642
206021_at,1.1139282489273983,0.3529979659077449
1553246_a_at,1.1138270864986313,0.3530457993139815
39318_at,1.1136522769014512,0.3531284683667068
222785_x_at,1.1136454722523523,0.3531316866673291
228965_s_at,1.1136334428069294,0.3531373761261624
1566694_at,1.1134398065576823,0.3532289688378636
220535_at,1.1133493902378335,0.3532717436997053
207967_at,1.1131591117219544,0.3533617759850714
1558011_at,1.1131041886855746,0.35338776688661694
201884_at,1.1130770168684407,0.3534006258216426
1558804_at,1.1129316460680057,0.3534694283679654
221414_s_at,1.1127842077674965,0.35353922062392945
236118_at,1.112695062742947,0.35358142429718586
242340_at,1.1126059564112913,0.3536236137667862
234194_at,1.1124858634469383,0.3536804810884003
238707_at,1.1123294080927046,0.35375457821127393
234079_at,1.112014330079521,0.353903837384675
233661_at,1.1119872376790156,0.3539166740345425
228247_at,1.111480968038897,0.35415661962059547
223168_at,1.111475900375517,0.3541590221021111
222512_at,1.1110312325247993,0.35436988239331324
208529_at,1.1109516253997664,0.3544076426951837
1569719_at,1.110879526447695,0.3544418444568938
233559_s_at,1.1108138225006028,0.3544730149512202
234889_at,1.1107522079164827,0.3545022474517759
234898_at,1.110525308460744,0.3546099148865095
